rownum,stateabbrv,avg smoke,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,avg obese,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,avg exercise,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,cs_educ_ba,tuition,gradrate_r,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,SC,0.1937,0.262,0.223,0.170,0.120,0.265,0.344,0.267,0.251,0.197,0.765,0.628,0.752,0.809,0.872,18.184,"8,950.80",0.462,0.625,84.418,84.780,67.787,81.594,69.392,48.386,0.088,0.082,0.094,0.215,0.393,0.137,0.119,0.467,-0.925,44.542,36.714,2.372,0.048,0.261,0.331,0.658,0.132,3.125,0.023,0.020,153.27,0.280,"34,438.09","127,342.36",5.947,15.307,-3.569,-0.007,25.590,"7,895.98",0.051,35.945,0.279,0.007,"2,148.13",0.018,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,SC,0.1692,0.182,0.194,0.149,0.151,0.350,0.438,0.357,0.330,0.274,0.681,0.572,0.699,0.674,0.779,20.106,"9,588.10",1.527,-0.269,86.795,80.307,63.424,78.298,68.657,94.460,0.011,0.013,0.012,0.084,0.352,0.247,0.085,0.416,-1.679,44.284,55.089,1.613,0.065,0.088,0.090,0.526,0.248,0.851,0.010,0.015,38.09,0.349,"25,543.54","81,525.60",5.594,14.961,-17.549,-0.017,11.675,"1,372.34",-0.136,35.007,0.353,0.007,"1,582.82",0.019,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,SC,0.2096,0.258,0.254,0.189,0.137,0.248,0.310,0.262,0.232,0.189,0.765,0.622,0.735,0.824,0.878,19.835,"9,369.86",0.179,0.654,84.296,85.596,68.177,81.404,71.312,55.656,0.082,0.081,0.079,0.157,0.379,0.145,0.165,0.476,-2.111,39.585,31.358,2.323,0.042,0.271,0.320,0.639,0.106,3.176,0.027,0.021,161.02,0.269,"34,600.54","152,015.90",5.042,17.137,-3.673,-0.006,23.963,"2,602.36",0.016,37.687,0.277,0.009,"1,796.41",0.020,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,SC,0.2018,0.303,0.222,0.161,0.122,0.245,0.289,0.256,0.243,0.192,0.762,0.594,0.752,0.836,0.868,20.372,"8,936.00",0.611,0.560,84.905,83.493,68.870,81.230,69.997,55.237,0.066,0.058,0.076,0.176,0.356,0.119,0.123,0.508,-1.108,55.826,18.091,2.585,0.049,0.297,0.341,0.641,0.259,3.309,0.015,0.012,191.55,0.308,"35,224.83","131,339.80",5.145,17.039,-1.210,-0.010,20.645,"5,888.30",0.061,37.082,0.229,0.008,"1,579.56",0.014,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,GA,0.2025,0.279,0.220,0.182,0.129,0.276,0.330,0.274,0.260,0.240,0.760,0.607,0.746,0.820,0.866,18.534,"8,364.69",1.576,-0.285,75.201,80.403,69.879,76.455,63.048,57.483,0.090,0.084,0.097,0.165,0.390,0.158,0.098,0.456,-1.373,43.200,35.704,2.341,0.047,0.282,0.300,0.623,0.157,2.868,0.015,0.015,124.13,0.275,"33,294.11","116,558.71",5.214,18.222,-6.018,0.011,19.818,"2,316.70",-0.117,36.209,0.291,0.008,"1,911.11",0.020,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,GA,0.1392,0.182,0.250,0.000,0.125,0.239,0.455,0.000,0.500,0.000,0.588,0.727,0.250,0.500,0.875,23.279,"9,412.58",1.051,-0.410,79.454,81.071,63.068,77.787,64.776,72.671,0.019,0.003,0.015,0.021,0.379,0.193,0.112,0.404,-0.773,43.643,42.387,2.061,0.076,0.142,0.181,0.551,0.261,1.590,0.013,0.016,28.05,0.341,"35,154.56","102,974.58",5.394,16.470,-5.032,0.037,13.614,"16,250.00",,34.697,0.316,0.007,"2,174.25",0.021,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,GA,0.4597,0.409,0.263,1.000,0.167,0.512,0.409,0.471,1.000,0.167,0.595,0.591,0.789,0.000,1.000,24.171,"9,621.09",1.417,-1.221,87.172,77.805,62.334,68.172,60.089,108.258,0.016,0.022,0.012,0.082,0.399,0.207,0.079,0.425,-1.649,53.266,30.013,3.655,0.052,0.097,0.243,0.587,0.299,2.683,0.011,0.011,45.05,0.458,"27,671.02","79,830.92",5.475,15.635,-4.932,0.049,9.645,864.00,0.083,36.776,0.291,0.009,"2,990.52",0.019,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,GA,0.1818,0.273,0.455,0.000,0.000,0.369,0.400,0.300,0.375,0.400,0.768,0.545,0.636,0.889,1.000,22.205,"9,651.30",1.346,-1.573,82.756,79.844,60.449,53.026,67.263,96.656,0.010,0.010,0.006,0.047,0.400,0.259,0.096,0.391,-1.604,48.330,43.425,2.513,0.053,0.108,0.131,0.540,0.181,1.651,0.009,0.011,40.21,0.430,"26,102.80","89,061.04",5.945,15.534,-4.966,0.068,10.742,,,35.263,0.369,0.014,"2,474.38",0.024,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,GA,0.2037,0.269,0.237,0.189,0.120,0.287,0.373,0.272,0.226,0.277,0.729,0.537,0.728,0.796,0.854,24.358,"9,690.12",1.923,-0.049,83.496,85.256,65.569,79.710,64.988,84.973,0.050,0.046,0.054,0.169,0.394,0.198,0.118,0.449,-1.931,48.122,29.163,5.146,0.044,0.233,0.332,0.622,0.168,3.693,0.013,0.014,71.59,0.422,"27,877.83","102,938.44",5.177,16.510,-3.559,0.041,14.717,"1,500.88",0.002,36.122,0.273,0.009,"2,160.58",0.020,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,GA,0.2060,0.264,0.237,0.225,0.098,0.281,0.351,0.248,0.282,0.244,0.667,0.498,0.644,0.625,0.902,24.462,"11,101.30",1.753,-1.317,80.722,81.044,56.556,78.969,59.220,129.752,0.029,0.025,0.032,0.113,0.378,0.204,0.083,0.452,-2.103,50.225,23.236,4.668,0.053,0.153,0.244,0.574,0.216,3.655,0.009,0.008,34.52,0.410,"26,638.61","80,940.65",5.889,16.011,-2.098,0.047,9.965,"1,237.24",-0.152,37.603,0.240,0.011,"2,426.45",0.020,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,GA,0.2043,0.304,0.198,0.161,0.155,0.279,0.358,0.276,0.232,0.250,0.761,0.565,0.789,0.823,0.867,23.140,"8,877.33",1.395,-0.246,70.975,84.154,62.909,80.983,68.184,66.019,0.076,0.063,0.093,0.211,0.412,0.156,0.123,0.465,-1.655,46.331,23.925,2.440,0.038,0.297,0.383,0.630,0.104,2.671,0.015,0.016,71.56,0.348,"36,807.36","141,874.79",5.777,16.377,-8.216,0.054,19.552,"1,280.00",-0.206,36.181,0.268,0.009,"2,469.19",0.027,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,GA,0.2780,0.324,0.317,0.247,0.224,0.276,0.374,0.257,0.239,0.232,0.718,0.646,0.770,0.784,0.672,21.787,"9,870.08",0.923,-0.897,82.084,83.154,59.960,78.190,56.528,102.021,0.020,0.025,0.018,0.076,0.301,0.181,0.077,0.555,-3.199,35.524,33.679,7.170,0.047,0.468,0.482,0.618,0.127,4.769,0.037,0.052,58.78,0.413,"23,377.99","99,073.94",5.188,16.981,-3.211,0.022,11.669,864.00,0.239,37.034,0.231,0.009,"1,453.89",0.022,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,GA,0.1819,0.220,0.207,0.186,0.115,0.269,0.316,0.239,0.229,0.294,0.756,0.646,0.743,0.775,0.862,24.057,"9,679.17",1.176,-0.515,80.137,84.377,64.832,78.894,61.092,98.357,0.043,0.051,0.036,0.055,0.402,0.249,0.090,0.419,-2.244,40.354,32.501,2.796,0.051,0.280,0.407,0.586,0.182,2.949,0.016,0.014,42.61,0.398,"26,438.81","98,951.07",5.270,16.162,-0.486,0.030,17.869,"1,728.47",0.056,36.172,0.279,0.009,"2,079.77",0.019,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,GA,0.1871,0.252,0.213,0.171,0.113,0.212,0.303,0.214,0.196,0.136,0.788,0.622,0.769,0.856,0.906,21.419,"8,871.71",-0.390,0.914,81.774,85.868,70.992,84.517,73.960,53.865,0.099,0.095,0.103,0.243,0.407,0.137,0.146,0.471,-1.703,40.697,32.464,3.635,0.036,0.399,0.496,0.628,0.103,4.387,0.033,0.029,167.02,0.297,"39,851.36","173,315.61",5.810,16.596,-9.082,0.038,25.215,"6,982.14",-0.021,36.083,0.269,0.009,"2,223.65",0.028,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,GA,0.2201,0.271,0.232,0.220,0.158,0.258,0.313,0.243,0.243,0.232,0.732,0.581,0.673,0.802,0.872,19.156,"10,147.02",0.148,-0.147,82.721,81.456,66.540,79.833,66.657,85.055,0.091,0.098,0.085,0.193,0.377,0.154,0.123,0.465,-1.070,44.348,36.002,2.013,0.041,0.198,0.262,0.622,0.134,2.254,0.016,0.014,125.01,0.294,"33,835.64","113,470.71",5.704,17.346,-6.074,0.048,18.305,"4,954.09",-0.080,35.455,0.302,0.009,"2,499.88",0.020,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,GA,0.1906,0.289,0.197,0.115,0.162,0.313,0.352,0.325,0.217,0.358,0.701,0.545,0.692,0.770,0.794,23.751,"10,419.28",1.202,-1.118,80.661,82.846,57.208,80.194,57.022,117.611,0.010,0.010,0.009,0.080,0.388,0.210,0.095,0.429,-1.649,58.762,26.030,4.413,0.068,0.126,0.191,0.559,0.194,3.320,0.006,0.009,37.47,0.391,"26,103.74","79,533.73",5.256,16.258,-1.667,0.027,10.427,"3,684.38",0.016,38.273,0.249,0.009,"1,836.80",0.022,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,GA,0.1692,0.211,0.111,0.308,0.048,0.289,0.263,0.259,0.333,0.300,0.741,0.474,0.815,0.769,0.905,21.248,"9,306.43",0.467,-0.102,78.314,84.741,62.113,83.559,66.809,80.012,0.034,0.037,0.032,0.122,0.367,0.179,0.075,0.448,-1.909,27.650,44.029,1.395,0.047,0.293,0.315,0.523,0.181,1.756,0.012,0.015,55.03,0.360,"27,862.41","107,476.73",5.526,16.830,-6.814,0.013,14.222,"3,161.26",0.127,33.139,0.333,0.008,"2,058.75",0.025,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,GA,0.1916,0.288,0.231,0.129,0.118,0.273,0.355,0.283,0.247,0.209,0.708,0.553,0.673,0.797,0.809,19.601,"9,104.16",0.581,-0.240,83.200,86.460,55.078,78.381,65.393,66.905,0.040,0.040,0.038,0.112,0.392,0.201,0.138,0.442,-1.150,50.133,39.916,0.993,0.047,0.157,0.185,0.569,0.199,0.976,0.012,0.010,41.52,0.343,"29,574.87","92,339.50",6.142,16.465,-2.796,0.031,12.536,"16,895.36",0.125,34.925,0.318,0.016,"1,910.93",0.021,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,GA,0.1806,0.249,0.195,0.167,0.111,0.223,0.282,0.229,0.205,0.176,0.752,0.612,0.736,0.794,0.868,22.100,"9,238.88",0.284,0.056,78.710,85.900,61.869,82.562,64.703,59.070,0.113,0.101,0.125,0.317,0.395,0.093,0.173,0.439,-1.208,44.275,29.679,6.836,0.035,0.851,0.994,0.709,0.104,10.883,0.030,0.023,717.45,0.178,"44,161.72","191,244.61",6.352,18.064,-7.863,0.026,33.283,"6,875.74",-0.046,35.968,0.230,0.008,"2,884.70",0.028,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,GA,0.1448,0.196,0.030,0.143,0.211,0.325,0.244,0.343,0.238,0.474,0.759,0.587,0.743,0.810,0.895,21.301,"9,591.88",2.085,-0.809,81.679,81.164,58.965,75.906,56.501,70.712,0.039,0.039,0.039,0.132,0.341,0.137,0.103,0.509,-1.460,53.294,28.251,1.399,0.053,0.243,0.290,0.601,0.234,1.700,0.026,0.019,121.39,0.315,"30,887.58","110,785.03",4.830,17.605,-6.834,0.089,11.743,"1,147.73",-0.076,36.153,0.267,0.009,"1,694.76",0.020,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,GA,0.1527,0.204,0.187,0.133,0.087,0.259,0.252,0.291,0.247,0.248,0.796,0.722,0.769,0.806,0.887,22.458,"9,104.28",-0.065,0.510,83.379,88.910,65.005,81.865,68.971,64.473,0.089,0.104,0.074,0.166,0.385,0.180,0.119,0.473,-1.440,35.184,18.022,4.434,0.036,0.573,0.746,0.664,0.146,5.647,0.034,0.028,177.79,0.323,"30,684.81","149,168.31",5.547,16.886,-6.911,0.048,28.572,"2,573.64",0.352,35.497,0.230,0.008,"2,155.10",0.026,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,GA,0.1744,0.190,0.191,0.105,0.211,0.380,0.400,0.250,0.500,0.368,0.733,0.619,0.787,0.684,0.842,23.921,"9,221.44",1.554,-0.431,85.538,83.719,61.939,79.422,59.997,92.196,0.012,0.013,0.011,0.088,0.321,0.153,0.089,0.532,-1.002,63.032,17.427,1.257,0.053,0.201,0.254,0.602,0.297,1.458,0.012,0.011,85.51,0.407,"29,484.41","108,087.80",5.148,15.533,0.165,0.029,12.093,"8,355.12",0.205,38.068,0.215,0.007,"1,784.99",0.019,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,GA,0.2111,0.368,0.203,0.167,0.106,0.239,0.253,0.201,0.252,0.250,0.735,0.575,0.754,0.804,0.807,24.909,"9,399.30",0.159,0.318,82.628,85.523,65.269,82.937,65.690,60.600,0.030,0.028,0.034,0.200,0.340,0.122,0.129,0.530,-1.545,43.931,5.822,12.042,0.037,0.749,0.855,0.646,0.234,10.109,0.034,0.021,153.42,0.269,"33,365.47","150,563.99",5.735,16.759,-7.318,0.022,16.386,"3,575.25",-0.095,39.547,0.156,0.007,"1,620.37",0.022,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,AL,0.2319,0.333,0.236,0.204,0.155,0.327,0.397,0.344,0.287,0.280,0.686,0.526,0.657,0.750,0.810,16.789,"10,571.42",1.426,-0.956,85.145,79.778,62.562,71.748,60.210,99.227,0.018,0.019,0.016,0.116,0.347,0.170,0.075,0.456,-1.444,52.789,28.371,0.988,0.058,0.078,0.128,0.553,0.298,0.624,0.016,0.019,54.61,0.339,"29,631.04","94,719.60",4.659,17.802,-14.074,-0.004,11.421,"2,766.19",-0.075,37.947,0.260,0.006,"1,781.12",0.011,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,GA,0.2075,0.273,0.228,0.175,0.154,0.292,0.285,0.310,0.276,0.297,0.738,0.558,0.746,0.817,0.831,18.963,"9,951.97",0.563,-0.498,81.920,82.963,59.679,80.496,59.804,79.515,0.062,0.056,0.069,0.154,0.346,0.138,0.112,0.519,-1.461,52.044,19.986,1.926,0.045,0.263,0.338,0.621,0.230,2.102,0.027,0.019,106.83,0.294,"32,719.94","116,186.87",5.261,18.094,-7.685,0.012,15.427,"2,244.87",-0.051,37.601,0.221,0.007,"1,864.34",0.017,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,GA,0.1846,0.256,0.217,0.163,0.103,0.260,0.340,0.262,0.211,0.227,0.744,0.603,0.732,0.792,0.850,18.797,"9,116.13",2.327,-0.204,81.763,81.043,66.596,77.008,61.487,58.183,0.108,0.109,0.102,0.235,0.371,0.160,0.128,0.487,-2.078,44.979,40.614,3.688,0.049,0.075,0.109,0.635,0.170,3.720,0.028,0.033,123.11,0.325,"31,244.75","112,103.52",5.365,17.381,-9.339,0.025,17.886,"1,617.79",-0.100,35.243,0.312,0.012,"1,549.94",0.018,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,GA,0.1273,0.250,0.148,0.111,0.000,0.161,0.242,0.148,0.111,0.143,0.790,0.528,0.704,1.000,0.929,22.963,"8,559.53",1.871,-0.728,73.971,75.975,69.978,73.706,57.857,50.905,0.014,0.011,0.009,0.074,0.387,0.223,0.132,0.422,-1.582,38.974,49.275,2.889,0.058,0.091,0.152,0.575,0.219,2.270,0.010,0.015,31.47,0.409,"27,083.44","82,095.55",5.941,16.987,-10.217,0.073,14.694,"1,465.25",0.037,34.540,0.360,0.011,"1,975.71",0.020,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,AL,0.1895,0.271,0.247,0.127,0.113,0.230,0.274,0.251,0.159,0.235,0.773,0.670,0.756,0.787,0.878,15.875,"8,176.22",0.481,-0.204,83.886,83.432,62.223,76.650,62.387,61.295,0.105,0.125,0.087,0.277,0.406,0.243,0.120,0.446,-2.130,31.091,36.272,1.418,0.042,0.327,0.524,0.581,0.157,2.477,0.035,0.028,81.83,0.380,"27,283.36","125,404.33",5.021,17.003,-14.150,-0.019,24.878,"3,969.74",0.268,35.750,0.304,0.006,"2,966.74",0.014,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,FL,0.1993,0.292,0.223,0.151,0.131,0.286,0.336,0.295,0.281,0.231,0.746,0.605,0.727,0.812,0.840,18.788,"9,801.50",0.657,-0.048,80.403,81.647,68.040,80.419,66.087,74.485,0.122,0.109,0.133,0.162,0.388,0.180,0.112,0.480,-0.960,37.265,28.541,3.500,0.040,0.452,0.599,0.621,0.042,3.663,0.022,0.023,73.96,0.275,"30,838.16","127,375.99",6.107,17.735,2.693,-0.008,28.715,"1,485.05",0.193,37.874,0.283,,"3,203.66",0.019,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,FL,0.2284,0.329,0.241,0.164,0.181,0.230,0.277,0.242,0.228,0.171,0.743,0.601,0.731,0.799,0.844,22.400,"11,525.75",-0.748,-0.341,84.580,76.267,69.278,77.023,63.287,75.265,0.046,0.045,0.047,0.132,0.346,0.136,0.120,0.521,-2.044,41.107,11.318,2.392,0.051,0.487,0.598,0.593,0.065,3.440,0.035,0.028,92.67,0.358,"32,714.85","123,883.75",5.882,18.385,4.031,-0.024,16.773,"1,941.60",0.028,39.185,0.243,,"3,106.93",0.022,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,GA,0.2044,0.167,0.224,0.250,0.176,0.386,0.547,0.449,0.150,0.400,0.712,0.470,0.755,0.800,0.824,22.356,"9,205.11",0.833,-2.472,68.590,71.010,63.038,66.059,53.281,116.237,0.016,0.009,0.014,0.082,0.399,0.226,0.117,0.395,-2.109,48.136,37.043,2.946,0.051,0.058,0.094,0.577,0.210,1.776,0.010,0.013,39.35,0.390,"29,033.66","86,943.00",5.082,16.547,,0.040,11.239,"1,280.00",-0.196,37.459,0.311,0.012,"1,876.23",0.019,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,GA,0.1839,0.212,0.213,0.222,0.089,0.323,0.409,0.276,0.333,0.273,0.737,0.489,0.667,0.844,0.946,22.908,"8,606.19",1.117,0.245,84.943,83.826,69.266,76.275,67.130,61.098,0.020,0.022,0.017,0.098,0.432,0.188,0.139,0.408,-1.750,53.801,35.501,2.946,0.042,0.146,0.201,0.596,0.180,2.362,0.017,0.012,65.97,0.389,"29,591.39","101,672.45",5.375,16.263,-5.130,0.018,14.591,"3,106.11",0.098,36.296,0.301,0.011,"2,160.31",0.018,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,GA,0.1877,0.262,0.196,0.187,0.106,0.281,0.297,0.316,0.233,0.279,0.742,0.580,0.742,0.754,0.894,20.098,"8,631.43",2.139,-0.086,88.172,78.132,63.668,77.956,66.172,62.399,0.091,0.085,0.098,0.242,0.429,0.221,0.107,0.403,-1.224,39.834,48.360,1.414,0.050,0.086,0.108,0.597,0.159,1.584,0.011,0.013,74.32,0.350,"30,170.39","100,924.55",5.742,17.458,-4.581,0.046,14.846,"1,469.10",-0.057,34.530,0.360,0.012,"2,728.49",0.023,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,GA,0.1970,0.237,0.258,0.182,0.111,0.402,0.270,0.516,0.545,0.278,0.693,0.526,0.613,0.909,0.722,20.231,"9,168.19",1.434,-0.304,87.154,81.069,64.680,79.319,61.973,88.919,0.020,0.018,0.017,0.041,0.411,0.267,0.113,0.354,-1.448,41.580,50.159,1.556,0.064,0.039,0.047,0.497,0.256,1.268,0.010,0.016,25.06,0.388,"25,283.51","80,811.07",5.587,15.935,-17.626,0.010,10.900,"7,250.00",-0.048,35.215,0.369,0.006,"1,930.55",0.018,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,AL,0.1865,0.247,0.231,0.168,0.100,0.327,0.375,0.271,0.355,0.309,0.693,0.568,0.676,0.738,0.788,17.037,"9,804.42",-0.309,0.315,85.388,85.126,68.743,80.878,67.332,77.788,0.050,0.046,0.055,0.142,0.370,0.158,0.127,0.485,-1.400,63.184,21.255,2.079,0.047,0.115,0.184,0.608,0.159,1.994,0.018,0.018,75.58,0.361,"32,267.80","99,431.75",4.822,17.249,-11.823,0.006,16.178,"1,580.12",-0.097,39.018,0.248,0.007,"2,187.23",0.011,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,MS,0.1921,0.249,0.213,0.196,0.109,0.289,0.351,0.319,0.253,0.233,0.723,0.568,0.731,0.758,0.835,21.372,"11,194.71",1.262,-1.149,81.401,77.459,65.439,68.651,60.077,94.313,0.053,0.059,0.042,0.216,0.380,0.213,0.097,0.450,-0.386,64.193,34.430,1.027,0.061,0.061,0.120,0.577,0.198,0.640,0.011,0.013,47.47,0.333,"29,016.20","81,290.81",4.355,17.411,-9.971,0.014,13.607,972.84,-0.067,37.304,0.307,0.007,"1,496.20",0.014,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,MS,0.1897,0.278,0.212,0.127,0.142,0.282,0.376,0.326,0.216,0.211,0.725,0.563,0.672,0.790,0.874,21.974,"9,506.44",1.674,0.103,84.510,87.081,67.257,81.192,58.254,70.849,0.046,0.043,0.047,0.134,0.415,0.237,0.121,0.416,-0.966,52.357,45.287,1.022,0.071,0.034,0.063,0.576,0.248,1.028,0.013,0.020,45.75,0.362,"29,114.52","93,043.78",5.113,19.295,-13.643,0.000,16.876,"2,656.00",0.055,36.022,0.332,0.007,"2,064.53",0.012,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,MS,0.1643,0.212,0.163,0.153,0.129,0.266,0.354,0.293,0.160,0.258,0.765,0.635,0.760,0.786,0.879,20.722,"9,109.05",1.646,-0.020,85.379,85.099,70.901,75.614,64.900,90.385,0.015,0.016,0.012,0.077,0.391,0.250,0.095,0.428,-0.427,54.471,40.084,1.091,0.071,0.096,0.265,0.583,0.232,1.749,0.011,0.015,45.40,0.437,"26,131.43","91,176.98",4.802,17.565,-14.345,0.007,22.220,"3,215.02",0.286,36.791,0.318,0.008,"1,979.18",0.012,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,AL,0.2353,0.319,0.255,0.184,0.182,0.296,0.343,0.282,0.296,0.265,0.678,0.518,0.699,0.806,0.690,17.315,"11,026.68",1.160,-0.629,83.950,85.037,59.708,81.700,60.709,115.769,0.013,0.011,0.013,0.123,0.326,0.165,0.092,0.522,-0.797,61.130,5.984,1.054,0.066,0.034,0.120,0.551,0.250,0.705,0.012,0.011,47.64,0.320,"28,444.61","85,184.52",4.647,17.048,-5.220,-0.006,8.647,"1,560.00",-0.171,41.945,0.182,0.006,"1,311.66",0.010,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,AL,0.2117,0.277,0.242,0.189,0.139,0.261,0.314,0.271,0.261,0.200,0.731,0.574,0.718,0.780,0.850,15.887,"9,845.19",1.024,0.363,81.191,85.054,67.449,80.544,69.807,61.555,0.108,0.096,0.118,0.420,0.403,0.132,0.161,0.453,-0.392,57.960,27.057,1.872,0.037,0.144,0.250,0.624,0.120,2.221,0.017,0.016,224.76,0.220,"38,196.07","131,751.56",5.139,17.267,-12.133,-0.003,23.196,"5,277.09",-0.042,37.583,0.242,0.007,"1,864.47",0.020,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,AL,0.1799,0.258,0.189,0.156,0.116,0.312,0.381,0.348,0.301,0.219,0.703,0.568,0.681,0.773,0.792,17.228,"10,353.02",0.225,-0.082,82.760,82.069,65.393,80.714,68.759,87.551,0.088,0.087,0.082,0.272,0.412,0.214,0.148,0.413,-1.124,47.504,38.317,1.106,0.050,0.098,0.209,0.571,0.177,1.540,0.018,0.017,60.85,0.343,"30,158.42","123,887.33",4.862,16.871,-19.805,0.000,19.176,"3,229.04",0.144,36.855,0.311,0.008,"1,978.67",0.013,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
