rownum,stateabbrv,avg smoke,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,avg obese,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,avg exercise,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,cs_educ_ba,tuition,gradrate_r,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,NC,0.2176,0.291,0.257,0.183,0.139,0.277,0.293,0.254,0.298,0.263,0.734,0.581,0.739,0.786,0.830,19.459,"9,649.22",0.190,0.478,85.733,86.215,66.700,84.878,64.772,67.121,0.038,0.034,0.041,0.134,0.314,0.116,0.101,0.544,-0.659,60.124,13.778,2.890,0.079,0.208,0.216,0.648,0.311,2.862,0.017,0.015,245.48,0.288,"33,582.14","118,714.90",5.251,16.370,2.412,0.030,13.546,"10,243.96",-0.102,35.434,0.214,0.012,"1,996.33",0.015,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NC,0.1972,0.265,0.234,0.171,0.120,0.255,0.300,0.266,0.259,0.194,0.763,0.610,0.747,0.819,0.877,18.699,"8,973.73",0.198,0.765,84.745,88.009,70.420,84.232,65.434,56.381,0.098,0.078,0.120,0.223,0.360,0.096,0.156,0.477,-0.484,49.599,22.733,4.944,0.049,0.541,0.613,0.696,0.171,6.525,0.034,0.021,298.03,0.241,"41,423.26","165,916.78",5.674,16.994,-2.291,0.023,26.794,"4,790.28",-0.021,35.835,0.219,0.010,"2,700.77",0.020,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,NC,0.1981,0.300,0.264,0.137,0.091,0.213,0.248,0.216,0.192,0.194,0.832,0.753,0.797,0.892,0.887,20.440,"9,237.57",-0.191,-0.165,82.439,85.922,64.831,77.213,66.390,88.469,0.031,0.028,0.031,0.076,0.344,0.184,0.143,0.530,0.012,48.845,2.186,1.532,0.048,0.293,0.438,0.589,0.110,1.784,0.014,0.017,90.17,0.375,"25,952.73","149,256.61",5.264,13.936,9.978,0.013,23.101,"1,673.67",0.236,40.017,0.167,0.005,"1,348.46",0.022,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NC,0.2175,0.289,0.234,0.203,0.144,0.281,0.281,0.301,0.306,0.235,0.751,0.623,0.754,0.770,0.856,20.222,"8,456.87",1.155,0.119,80.476,87.045,67.003,77.808,63.701,60.226,0.012,0.011,0.011,0.117,0.273,0.118,0.078,0.603,-0.231,56.877,4.736,3.146,0.074,0.203,0.224,0.610,0.355,3.839,0.013,0.015,111.15,0.315,"30,725.51","109,955.77",4.926,15.708,5.556,0.018,11.803,887.86,-0.155,37.551,0.179,0.007,"1,825.95",0.014,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,NC,0.2007,0.272,0.247,0.158,0.126,0.264,0.289,0.282,0.274,0.210,0.756,0.608,0.724,0.808,0.883,19.320,"9,096.34",0.507,1.087,85.105,89.644,72.232,85.939,68.748,56.665,0.038,0.029,0.042,0.134,0.317,0.091,0.118,0.568,-0.235,57.753,9.087,3.952,0.062,0.338,0.381,0.688,0.365,4.231,0.022,0.019,219.86,0.322,"36,023.97","137,838.83",5.205,16.672,3.202,0.026,15.080,"4,109.34",-0.164,35.556,0.190,0.009,"1,917.40",0.015,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NC,0.1607,0.288,0.146,0.146,0.063,0.268,0.314,0.325,0.225,0.208,0.747,0.562,0.817,0.756,0.854,25.712,"8,046.63",1.519,0.840,85.192,88.542,68.722,84.335,65.901,48.536,0.011,0.009,0.011,0.044,0.310,0.121,0.206,0.565,-0.234,61.332,1.050,2.534,0.044,0.464,0.594,0.558,0.158,3.088,0.012,0.010,50.55,0.416,"37,260.51","141,831.91",5.199,15.814,4.110,0.034,16.670,,,41.238,0.166,0.006,"1,433.78",0.024,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NC,0.2355,0.310,0.279,0.212,0.141,0.288,0.283,0.286,0.295,0.288,0.777,0.634,0.735,0.836,0.903,25.347,"8,158.45",-0.281,-1.516,75.580,74.970,60.557,64.580,59.855,67.559,0.016,0.020,0.014,0.326,0.320,0.166,0.084,0.521,-1.001,40.912,1.435,1.531,0.058,0.249,0.489,0.609,0.106,1.475,0.010,0.010,41.26,0.412,"28,766.82","129,447.38",5.622,14.643,3.849,0.022,20.605,971.23,0.112,40.592,0.217,0.007,"1,581.04",0.015,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NC,0.1964,0.325,0.213,0.141,0.107,0.217,0.258,0.229,0.208,0.171,0.807,0.645,0.803,0.878,0.900,20.740,"8,113.20",-0.261,0.762,78.672,88.435,73.136,79.663,71.071,49.955,0.036,0.034,0.037,0.168,0.331,0.111,0.130,0.545,0.055,57.719,5.033,2.995,0.046,0.301,0.420,0.604,0.178,3.800,0.017,0.013,165.25,0.314,"37,445.13","158,120.88",5.649,16.176,9.045,0.024,23.199,"5,560.47",0.001,39.013,0.203,0.009,"2,059.41",0.018,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NC,0.2151,0.333,0.279,0.040,0.208,0.203,0.243,0.237,0.125,0.208,0.756,0.611,0.823,0.800,0.792,23.405,"8,262.58",1.424,0.803,84.817,87.751,64.507,85.519,69.500,48.808,0.008,0.007,0.007,0.051,0.289,0.134,0.558,0.519,-0.999,54.910,0.935,0.999,0.058,0.471,0.625,0.525,0.154,1.470,0.012,0.004,51.49,0.361,"33,712.03","137,143.78",5.167,15.685,1.551,0.017,13.081,"7,563.42",-0.110,40.833,0.166,0.006,"1,931.54",0.015,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SC,0.2519,0.309,0.246,0.273,0.180,0.277,0.327,0.288,0.243,0.250,0.705,0.525,0.715,0.782,0.798,22.069,"9,495.02",-0.471,-0.503,89.174,83.390,59.622,81.607,56.865,99.233,0.010,0.008,0.007,0.077,0.327,0.209,0.128,0.439,-2.440,48.986,39.956,1.643,0.083,0.026,0.023,0.574,0.360,1.236,0.015,0.018,56.00,0.340,"25,531.41","81,744.11",5.493,14.903,-10.920,0.019,9.136,"1,272.00",-0.112,34.924,0.316,0.009,"1,335.10",0.020,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,SC,0.2314,0.284,0.241,0.228,0.173,0.271,0.323,0.280,0.258,0.223,0.760,0.606,0.753,0.803,0.879,22.766,"9,636.56",0.231,0.292,87.439,85.108,64.454,81.969,67.433,75.636,0.047,0.054,0.043,0.201,0.415,0.170,0.137,0.422,-1.958,43.571,34.077,1.724,0.064,0.306,0.426,0.615,0.162,2.322,0.023,0.014,106.86,0.327,"32,610.36","128,373.23",5.710,15.871,-2.106,-0.017,16.625,"3,523.31",-0.032,35.914,0.295,0.009,"1,725.85",0.021,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,NC,0.2176,0.304,0.241,0.193,0.132,0.294,0.363,0.294,0.276,0.242,0.746,0.579,0.738,0.812,0.854,20.126,"9,395.65",-0.475,0.490,84.587,85.268,72.026,82.468,65.908,71.688,0.052,0.053,0.048,0.173,0.348,0.159,0.115,0.494,-2.210,37.745,29.854,5.721,0.071,0.239,0.279,0.638,0.202,4.663,0.030,0.038,162.03,0.322,"29,959.11","117,319.62",4.866,16.343,-5.484,0.024,16.883,"2,936.94",-0.100,34.775,0.276,0.011,"2,089.80",0.016,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,NC,0.2087,0.308,0.236,0.173,0.117,0.246,0.302,0.249,0.235,0.198,0.786,0.635,0.775,0.866,0.870,19.844,"9,325.11",0.488,1.641,89.538,90.551,74.806,88.124,74.057,54.529,0.064,0.060,0.069,0.155,0.397,0.152,0.126,0.463,-1.228,43.399,21.039,2.544,0.060,0.488,0.665,0.610,0.120,2.821,0.033,0.017,96.77,0.317,"35,616.59","158,151.08",5.379,16.102,-0.153,0.020,21.085,"3,723.04",0.156,35.862,0.253,0.011,"2,143.64",0.022,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NC,0.2028,0.246,0.229,0.205,0.132,0.331,0.390,0.344,0.332,0.258,0.729,0.590,0.713,0.784,0.830,19.539,"9,004.97",1.245,1.027,86.505,90.493,69.621,85.563,71.965,70.463,0.053,0.050,0.056,0.169,0.401,0.167,0.113,0.443,-1.395,39.812,41.589,4.127,0.072,0.164,0.185,0.619,0.232,3.511,0.013,0.015,153.09,0.360,"31,548.58","115,699.37",5.084,15.843,-6.231,0.035,14.254,"5,704.58",-0.093,35.039,0.291,0.015,"2,899.39",0.017,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,NC,0.1806,0.262,0.206,0.158,0.097,0.252,0.305,0.271,0.245,0.189,0.786,0.636,0.767,0.846,0.894,17.382,"8,857.67",-0.396,0.964,84.323,88.581,73.018,82.789,71.419,61.094,0.099,0.087,0.114,0.159,0.331,0.107,0.178,0.448,-0.401,39.946,23.016,6.113,0.044,0.712,0.842,0.694,0.141,8.520,0.033,0.023,268.24,0.250,"40,545.81","188,910.93",5.730,15.959,-0.359,,35.079,"5,642.45",0.135,36.932,0.211,0.009,"3,146.70",0.022,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,NC,0.2520,0.248,0.259,0.282,0.220,0.331,0.423,0.328,0.303,0.268,0.725,0.528,0.696,0.872,0.805,20.258,"7,706.03",2.695,0.942,85.683,87.955,71.256,83.909,69.280,55.862,0.034,0.032,0.034,0.095,0.370,0.202,0.127,0.400,-1.636,43.716,49.932,3.614,0.091,0.188,0.246,0.580,0.262,3.090,0.015,0.020,92.24,0.345,"29,491.89","108,830.22",5.432,16.507,-10.284,0.042,10.986,770.00,-0.156,33.470,0.339,0.012,"2,116.28",0.016,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,NC,0.2100,0.230,0.242,0.176,0.192,0.311,0.410,0.324,0.283,0.230,0.711,0.592,0.685,0.780,0.785,23.211,"9,661.84",0.993,0.611,86.822,87.504,70.876,79.641,68.298,69.356,0.026,0.029,0.021,0.113,0.346,0.161,0.111,0.501,-1.612,39.466,31.101,8.765,0.060,0.186,0.231,0.617,0.191,6.504,0.016,0.021,96.10,0.348,"28,924.63","109,293.48",4.786,16.294,-4.023,0.015,12.954,"2,664.69",-0.091,37.620,0.250,0.008,"1,843.97",0.016,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,NC,0.1957,0.283,0.221,0.163,0.116,0.292,0.350,0.301,0.277,0.239,0.766,0.626,0.750,0.816,0.872,17.915,"9,045.56",0.755,0.654,86.479,86.844,68.920,80.313,71.772,68.036,0.049,0.048,0.048,0.136,0.349,0.154,0.116,0.517,-1.926,34.186,25.611,4.410,0.060,0.306,0.365,0.654,0.126,3.407,0.033,0.039,130.29,0.375,"29,500.39","127,224.13",5.023,16.280,0.758,0.024,18.505,"1,084.97",0.021,37.208,0.243,0.008,"2,523.39",0.017,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
